"datetime","snow.water.eq.inches"
1979-01-01,7.4
1979-02-01,12.4
1979-03-01,21.2
1979-04-01,27.8
1979-05-01,23.7
1979-06-01,0
1980-01-01,8.6
1980-02-01,22.3
1980-03-01,32.4
1980-04-01,38.6
1980-05-01,35.2
1980-06-01,18.2
1981-01-01,3.7
1981-02-01,9.4
1981-03-01,11.3
1981-04-01,17
1981-05-01,9.5
1981-06-01,0
1982-01-01,16.8
1982-02-01,29.2
1982-03-01,35.2
1982-04-01,44.1
1982-05-01,38.1
1982-06-01,7.8
1983-01-01,19.8
1983-02-01,28
1983-03-01,40.8
1983-04-01,50.9
1983-05-01,56.4
1983-06-01,31.6
1984-01-01,23.6
1984-02-01,24.5
1984-03-01,31
1984-04-01,32.5
1984-05-01,27.5
1984-06-01,0
1985-01-01,12
1985-02-01,12.5
1985-03-01,16
1985-04-01,25.5
1985-05-01,9.1
1985-06-01,0
1986-01-01,10.7
1986-02-01,14.7
1986-03-01,39.8
1986-04-01,44.6
1986-05-01,32.3
1986-06-01,2
1987-01-01,2.3
1987-02-01,7.2
1987-03-01,13.6
1987-04-01,18.8
1987-05-01,4.4
1987-06-01,0
1988-01-01,9.3
1988-02-01,15
1988-03-01,15
1988-04-01,9.1
1988-05-01,0
1988-06-01,0
1989-01-01,12.8
1989-02-01,14.5
1989-03-01,17.2
1989-04-01,27.2
1989-05-01,16.2
1989-06-01,0
1990-01-01,3.8
1990-02-01,6.8
1990-03-01,11.6
1990-04-01,11
1990-05-01,0.4
1990-06-01,1.2
1991-01-01,4.6
1991-02-01,5.1
1991-03-01,5.6
1991-04-01,17.3
1991-05-01,14.2
1991-06-01,0
1992-01-01,8.3
1992-02-01,9.4
1992-03-01,12.1
1992-04-01,14.6
1992-05-01,0
1992-06-01,0
1993-01-01,18.7
1993-02-01,28.8
1993-03-01,35.1
1993-04-01,37.1
1993-05-01,24
1993-06-01,0
1994-01-01,4.4
1994-02-01,5.7
1994-03-01,12.5
1994-04-01,12.6
1994-05-01,4.2
1994-06-01,0
1995-01-01,13
1995-02-01,26
1995-03-01,27.6
1995-04-01,42.6
1995-05-01,48.5
1995-06-01,38.5
1996-01-01,3.9
1996-02-01,16.9
1996-03-01,26
1996-04-01,33.2
1996-05-01,25.4
1996-06-01,0
1997-01-01,21.5
1997-02-01,32.1
1997-03-01,33.9
1997-04-01,29.2
1997-05-01,15.9
1997-06-01,0
1998-01-01,7.5
1998-02-01,16.5
1998-03-01,28.9
1998-04-01,35.4
1998-05-01,34.8
1998-06-01,31.6
1999-01-01,8.7
1999-02-01,18.2
1999-03-01,34.6
1999-04-01,36
1999-05-01,38.1
1999-06-01,7.4
2000-01-01,3
2000-02-01,13.3
2000-03-01,21.6
2000-04-01,21.4
2000-05-01,11.2
2000-06-01,0
2001-01-01,4.4
2001-02-01,7.4
2001-03-01,11.9
2001-04-01,9.1
2001-05-01,5.7
2001-06-01,0
2002-01-01,13.8
2002-02-01,14.9
2002-03-01,16.2
2002-04-01,20.3
2002-05-01,11.5
2002-06-01,0
2003-01-01,15.9
2003-02-01,16.9
2003-03-01,18.5
2003-04-01,19.8
2003-05-01,26.4
2003-06-01,0.8
2004-01-01,12.7
2004-02-01,15.6
2004-03-01,23.3
2004-04-01,19.1
2004-05-01,4.5
2004-06-01,0
2005-01-01,15.7
2005-02-01,24.4
2005-03-01,29.6
2005-04-01,36.7
2005-05-01,35.2
2005-06-01,9.4
2006-01-01,16.9
2006-02-01,24.5
2006-03-01,29.3
2006-04-01,38.3
2006-05-01,39.8
2006-06-01,2.4
2007-01-01,5.7
2007-02-01,8
2007-03-01,14.7
2007-04-01,12.4
2007-05-01,3.2
2007-06-01,0
2008-01-01,4.6
2008-02-01,17.2
2008-03-01,22.3
2008-04-01,20.7
2008-05-01,8.1
2008-06-01,0
2009-01-01,6.7
2009-02-01,9.6
2009-03-01,13.2
2009-04-01,18.6
2009-05-01,10.4
2009-06-01,0
2010-01-01,7.3
2010-02-01,13
2010-03-01,17.9
2010-04-01,21.5
2010-05-01,23.3
2010-06-01,11.2
2011-01-01,21.7
2011-02-01,22.2
2011-03-01,29.2
2011-04-01,43.3
2011-05-01,42.1
2011-06-01,31.7
2012-01-01,1.4
2012-02-01,7.2
2012-03-01,9.4
2012-04-01,15.5
2012-05-01,4.4
2012-06-01,0
2013-01-01,13.2
2013-02-01,15.4
2013-03-01,15.8
2013-04-01,15
2013-05-01,0
2013-06-01,0
2014-01-01,2.9
2014-02-01,5.5
2014-03-01,13.6
2014-04-01,15.2
2014-05-01,4.9
2014-06-01,0
