"datetime","snow.water.eq.inches"
1981-01-01,3.1
1981-02-01,6.5
1981-03-01,7.4
1981-04-01,6.5
1981-05-01,0
1981-06-01,0
1982-01-01,3.4
1982-02-01,9.1
1982-03-01,8.5
1982-04-01,19
1982-05-01,8.8
1982-06-01,0
1983-01-01,10.9
1983-02-01,15.4
1983-03-01,21.4
1983-04-01,25.7
1983-05-01,19.4
1983-06-01,0
1984-01-01,7.8
1984-02-01,10.6
1984-03-01,14
1984-04-01,13
1984-05-01,0
1984-06-01,0
1985-01-01,7.8
1985-02-01,7.8
1985-03-01,12.6
1985-04-01,19.8
1985-05-01,0
1985-06-01,0
1986-01-01,7.2
1986-02-01,9.7
1986-03-01,20.5
1986-04-01,13.6
1986-05-01,0
1986-06-01,0
1987-01-01,0
1987-02-01,4.3
1987-03-01,7.4
1987-04-01,8
1987-05-01,0
1987-06-01,0
1988-01-01,3.8
1988-02-01,7.5
1988-03-01,7.8
1988-04-01,2.1
1988-05-01,0.3
1988-06-01,0
1989-01-01,8.5
1989-02-01,11.1
1989-03-01,13.6
1989-04-01,10.8
1989-05-01,0
1989-06-01,0
1990-01-01,2.5
1990-02-01,5.8
1990-03-01,9.8
1990-04-01,8.8
1990-05-01,0
1990-06-01,0.1
1991-01-01,2.1
1991-02-01,2.3
1991-03-01,3.6
1991-04-01,6
1991-05-01,0
1991-06-01,0
1992-01-01,3.8
1992-02-01,3.9
1992-03-01,7.1
1992-04-01,4.5
1992-05-01,0
1992-06-01,0
1993-01-01,11.1
1993-02-01,17.9
1993-03-01,24.4
1993-04-01,24.4
1993-05-01,8
1993-06-01,0
1994-01-01,4.1
1994-02-01,4.7
1994-03-01,10.1
1994-04-01,6.2
1994-05-01,0
1994-06-01,0
1995-01-01,7.8
1995-02-01,16.4
1995-03-01,16.7
1995-04-01,23.9
1995-05-01,13.4
1995-06-01,0
1996-01-01,1.3
1996-02-01,7.9
1996-03-01,13.9
1996-04-01,16.4
1996-05-01,0
1996-06-01,0
1997-01-01,7.8
1997-02-01,13.9
1997-03-01,15.3
1997-04-01,9.3
1997-05-01,0
1997-06-01,0
1998-01-01,4.7
1998-02-01,10.1
1998-03-01,20.1
1998-04-01,19.9
1998-05-01,11.6
1998-06-01,0
1999-01-01,4.7
1999-02-01,9.2
1999-03-01,18.9
1999-04-01,20.7
1999-05-01,12.5
1999-06-01,0
2000-01-01,0.8
2000-02-01,8.7
2000-03-01,13.6
2000-04-01,11.9
2000-05-01,0
2000-06-01,0
2001-01-01,2
2001-02-01,4.2
2001-03-01,8.1
2001-04-01,5
2001-05-01,0
2001-06-01,0
2002-01-01,8.8
2002-02-01,10.9
2002-03-01,11
2002-04-01,12
2002-05-01,0
2002-06-01,0
2003-01-01,8.1
2003-02-01,8
2003-03-01,9.6
2003-04-01,6.8
2003-05-01,6.8
2003-06-01,0
2004-01-01,6.6
2004-02-01,10
2004-03-01,15.7
2004-04-01,10.8
2004-05-01,0
2004-06-01,0
2005-01-01,10.1
2005-02-01,16.2
2005-03-01,18.5
2005-04-01,20.4
2005-05-01,7.4
2005-06-01,0
2006-01-01,1
2006-02-01,5.9
2006-03-01,7.1
2006-04-01,14
2006-05-01,3.5
2006-06-01,0
2007-01-01,2
2007-02-01,3.1
2007-03-01,11.3
2007-04-01,5
2007-05-01,0
2007-06-01,0
2008-01-01,3.4
2008-02-01,12.9
2008-03-01,17.7
2008-04-01,15.1
2008-05-01,0.1
2008-06-01,0
2009-01-01,4.9
2009-02-01,6.1
2009-03-01,7.1
2009-04-01,11.6
2009-05-01,0
2009-06-01,0
2010-01-01,5.3
2010-02-01,10
2010-03-01,14.2
2010-04-01,14.8
2010-05-01,10
2010-06-01,0
2011-01-01,11.7
2011-02-01,12.6
2011-03-01,19.5
2011-04-01,29.2
2011-05-01,16.1
2011-06-01,0
2012-01-01,0.5
2012-02-01,3
2012-03-01,5.9
2012-04-01,8.4
2012-05-01,0
2012-06-01,0
2013-01-01,5.1
2013-02-01,5.7
2013-03-01,5.8
2013-04-01,0.7
2013-05-01,0
2013-06-01,0
2014-01-01,0.5
2014-02-01,0.5
2014-03-01,1.1
2014-04-01,1
2014-05-01,0
2014-06-01,0
