Date,None,D0,D1,D2,D3,D4
2/21/2006,100,0,0,0,0,0
2/28/2006,100,0,0,0,0,0
3/7/2006,100,0,0,0,0,0
3/14/2006,100,0,0,0,0,0
3/21/2006,100,0,0,0,0,0
3/28/2006,100,0,0,0,0,0
4/4/2006,100,0,0,0,0,0
4/11/2006,100,0,0,0,0,0
4/18/2006,100,0,0,0,0,0
4/25/2006,100,0,0,0,0,0
5/2/2006,100,0,0,0,0,0
5/9/2006,100,0,0,0,0,0
5/16/2006,100,0,0,0,0,0
5/23/2006,100,0,0,0,0,0
5/30/2006,100,0,0,0,0,0
6/6/2006,100,0,0,0,0,0
6/13/2006,100,0,0,0,0,0
6/20/2006,100,0,0,0,0,0
6/27/2006,100,0,0,0,0,0
7/4/2006,100,0,0,0,0,0
7/11/2006,100,0,0,0,0,0
7/18/2006,100,0,0,0,0,0
7/25/2006,100,0,0,0,0,0
8/1/2006,100,0,0,0,0,0
8/8/2006,100,0,0,0,0,0
8/15/2006,100,0,0,0,0,0
8/22/2006,100,0,0,0,0,0
8/29/2006,100,0,0,0,0,0
9/5/2006,100,0,0,0,0,0
9/12/2006,100,0,0,0,0,0
9/19/2006,100,0,0,0,0,0
9/26/2006,100,0,0,0,0,0
10/3/2006,100,0,0,0,0,0
10/10/2006,100,0,0,0,0,0
10/17/2006,100,0,0,0,0,0
10/24/2006,100,0,0,0,0,0
10/31/2006,100,0,0,0,0,0
11/7/2006,100,0,0,0,0,0
11/14/2006,100,0,0,0,0,0
11/21/2006,100,0,0,0,0,0
11/28/2006,100,0,0,0,0,0
12/5/2006,100,0,0,0,0,0
12/12/2006,100,0,0,0,0,0
12/19/2006,100,0,0,0,0,0
12/26/2006,100,0,0,0,0,0
1/2/2007,100,0,0,0,0,0
1/9/2007,100,0,0,0,0,0
1/16/2007,100,0,0,0,0,0
1/23/2007,92.73,7.27,0,0,0,0
1/30/2007,90.86,9.14,0,0,0,0
2/6/2007,90.86,9.14,0,0,0,0
2/13/2007,100,0,0,0,0,0
2/20/2007,100,0,0,0,0,0
2/27/2007,100,0,0,0,0,0
3/6/2007,100,0,0,0,0,0
3/13/2007,100,0,0,0,0,0
3/20/2007,100,0,0,0,0,0
3/27/2007,100,0,0,0,0,0
4/3/2007,1.62,98.38,0,0,0,0
4/10/2007,1.2,98.8,0,0,0,0
4/17/2007,0.05,99.95,3.93,0,0,0
4/24/2007,29.83,70.17,0,0,0,0
5/1/2007,29.83,70.17,0,0,0,0
5/8/2007,29.83,70.17,0,0,0,0
5/15/2007,0,100,41.86,0,0,0
5/22/2007,0,100,93.63,0,0,0
5/29/2007,0,100,95.06,0,0,0
6/5/2007,0,100,95.06,0,0,0
6/12/2007,0,100,95.06,0,0,0
6/19/2007,0,100,95.06,0,0,0
6/26/2007,0,100,95.06,0,0,0
7/3/2007,0,100,95.06,0,0,0
7/10/2007,0,100,95.06,0,0,0
7/17/2007,0,100,95.06,0,0,0
7/24/2007,0,100,95.06,0,0,0
7/31/2007,0,100,95.06,0,0,0
8/7/2007,0,100,95.06,0,0,0
8/14/2007,0,100,95.06,0,0,0
8/21/2007,0,100,95.06,0,0,0
8/28/2007,0,100,96.16,0,0,0
9/4/2007,0,100,96.16,0,0,0
9/11/2007,0,100,96.16,0,0,0
9/18/2007,0,100,96.16,0,0,0
9/25/2007,0,100,96.16,0,0,0
10/2/2007,0,100,96.16,0,0,0
10/9/2007,0,100,96.16,0,0,0
10/16/2007,0,100,96.16,0,0,0
10/23/2007,0.01,99.99,23.6,0,0,0
10/30/2007,16.12,83.88,2.18,0,0,0
11/6/2007,16.12,83.88,2.18,0,0,0
11/13/2007,16.12,83.88,2.18,0,0,0
11/20/2007,16.12,83.88,2.18,0,0,0
11/27/2007,16.12,83.88,2.18,0,0,0
12/4/2007,16.12,83.88,2.18,0,0,0
12/11/2007,16.12,83.88,2.18,0,0,0
12/18/2007,16.12,83.88,1.9,0,0,0
12/25/2007,16.12,83.88,1.9,0,0,0
1/1/2008,16.12,83.88,1.9,0,0,0
1/8/2008,97.11,2.89,0,0,0,0
1/15/2008,97.11,2.89,0,0,0,0
1/22/2008,97.11,2.89,0,0,0,0
1/29/2008,100,0,0,0,0,0
2/5/2008,100,0,0,0,0,0
2/12/2008,100,0,0,0,0,0
2/19/2008,100,0,0,0,0,0
2/26/2008,100,0,0,0,0,0
3/4/2008,100,0,0,0,0,0
3/11/2008,100,0,0,0,0,0
3/18/2008,100,0,0,0,0,0
3/25/2008,100,0,0,0,0,0
4/1/2008,100,0,0,0,0,0
4/8/2008,100,0,0,0,0,0
4/15/2008,0,100,0,0,0,0
4/22/2008,0,100,0,0,0,0
4/29/2008,0,100,0,0,0,0
5/6/2008,4.55,95.45,0,0,0,0
5/13/2008,4.48,95.52,0,0,0,0
5/20/2008,4.48,95.52,0,0,0,0
5/27/2008,0,100,0,0,0,0
6/3/2008,0,100,64.44,0,0,0
6/10/2008,0,100,64.44,0,0,0
6/17/2008,0,100,100,0,0,0
6/24/2008,0,100,100,0,0,0
7/1/2008,0,100,100,0,0,0
7/8/2008,0,100,100,0,0,0
7/15/2008,0,100,100,0,0,0
7/22/2008,0,100,100,0,0,0
7/29/2008,0,100,100,99.94,0,0
8/5/2008,0,100,100,99.94,0,0
8/12/2008,0,100,100,99.94,0,0
8/19/2008,0,100,100,99.77,0,0
8/26/2008,0,100,100,100,0,0
9/2/2008,0,100,100,100,0,0
9/9/2008,0,100,100,100,0,0
9/16/2008,0,100,100,100,0,0
9/23/2008,0,100,100,100,0,0
9/30/2008,0,100,100,100,0,0
10/7/2008,0,100,100,100,0,0
10/14/2008,0,100,100,100,0,0
10/21/2008,0,100,100,100,0,0
10/28/2008,0,100,100,100,0,0
11/4/2008,0,100,100,9.31,0,0
11/11/2008,0,100,96.43,6.91,0,0
11/18/2008,0,100,96.43,6.91,0,0
11/25/2008,0,100,96.43,6.91,0,0
12/2/2008,0,100,96.43,6.91,0,0
12/9/2008,0,100,96.43,6.91,0,0
12/16/2008,0,100,100,14.82,0,0
12/23/2008,0,100,100,14.82,0,0
12/30/2008,0,100,100,14.82,0,0
1/6/2009,0,100,100,14.82,0,0
1/13/2009,0,100,100,14.82,0,0
1/20/2009,0,100,100,100,0,0
1/27/2009,0,100,100,100,4.55,0
2/3/2009,0,100,100,100,98.08,0
2/10/2009,0,100,100,100,98.08,0
2/17/2009,0,100,100,100,89.96,0
2/24/2009,0,100,100,100,89.96,0
3/3/2009,0,100,100,100,0,0
3/10/2009,0,100,100,95.58,0,0
3/17/2009,0,100,100,95.58,0,0
3/24/2009,0,100,100,95.58,0,0
3/31/2009,0,100,100,95.58,0,0
4/7/2009,0,100,100,100,0,0
4/14/2009,0,100,100,100,0,0
4/21/2009,0,100,100,100,0,0
4/28/2009,0,100,100,100,0,0
5/5/2009,0,100,100,100,0,0
5/12/2009,0,100,100,100,0,0
5/19/2009,0,100,100,100,0,0
5/26/2009,0,100,100,100,0,0
6/2/2009,0,100,100,100,0,0
6/9/2009,0,100,100,100,0,0
6/16/2009,0,100,100,100,0,0
6/23/2009,0,100,100,100,0,0
6/30/2009,0,100,100,100,0,0
7/7/2009,0,100,100,100,0,0
7/14/2009,0,100,100,100,0,0
7/21/2009,0,100,100,100,0,0
7/28/2009,0,100,100,100,0,0
8/4/2009,0,100,100,100,0,0
8/11/2009,0,100,100,100,0,0
8/18/2009,0,100,100,100,0,0
8/25/2009,0,100,100,100,0,0
9/1/2009,0,100,100,100,0,0
9/8/2009,0,100,100,100,0,0
9/15/2009,0,100,100,100,0,0
9/22/2009,0,100,100,100,0,0
9/29/2009,0,100,100,100,0,0
10/6/2009,0,100,100,100,0,0
10/13/2009,0,100,100,100,0,0
10/20/2009,0,100,100,4.51,0,0
10/27/2009,0,100,100,4.51,0,0
11/3/2009,0,100,100,4.51,0,0
11/10/2009,0,100,100,4.51,0,0
11/17/2009,0,100,100,4.51,0,0
11/24/2009,0,100,21.03,0,0,0
12/1/2009,0,100,21.03,0,0,0
12/8/2009,0,100,21.03,0,0,0
12/15/2009,0,100,21.03,0,0,0
12/22/2009,0,100,21.03,0,0,0
12/29/2009,0,100,21.03,0,0,0
1/5/2010,0,100,23.6,1.64,0,0
1/12/2010,0,100,23.6,1.64,0,0
1/19/2010,6.51,93.49,12.31,1.04,0,0
1/26/2010,87.87,12.13,0.05,0,0,0
2/2/2010,87.83,12.17,0.05,0,0,0
2/9/2010,87.83,12.17,0.05,0,0,0
2/16/2010,87.78,12.22,0.05,0,0,0
2/23/2010,87.78,12.22,0.05,0,0,0
3/2/2010,87.78,12.22,0.05,0,0,0
3/9/2010,87.78,12.22,0.05,0,0,0
3/16/2010,95.93,4.07,0,0,0,0
3/23/2010,96.02,3.98,0,0,0,0
3/30/2010,96.02,3.98,0,0,0,0
4/6/2010,93.45,6.55,0,0,0,0
4/13/2010,100,0,0,0,0,0
4/20/2010,100,0,0,0,0,0
4/27/2010,100,0,0,0,0,0
5/4/2010,100,0,0,0,0,0
5/11/2010,100,0,0,0,0,0
5/18/2010,100,0,0,0,0,0
5/25/2010,100,0,0,0,0,0
6/1/2010,100,0,0,0,0,0
6/8/2010,100,0,0,0,0,0
6/15/2010,100,0,0,0,0,0
6/22/2010,100,0,0,0,0,0
6/29/2010,100,0,0,0,0,0
7/6/2010,100,0,0,0,0,0
7/13/2010,100,0,0,0,0,0
7/20/2010,100,0,0,0,0,0
7/27/2010,100,0,0,0,0,0
8/3/2010,100,0,0,0,0,0
8/10/2010,100,0,0,0,0,0
8/17/2010,100,0,0,0,0,0
8/24/2010,100,0,0,0,0,0
8/31/2010,100,0,0,0,0,0
9/7/2010,100,0,0,0,0,0
9/14/2010,100,0,0,0,0,0
9/21/2010,100,0,0,0,0,0
9/28/2010,100,0,0,0,0,0
10/5/2010,100,0,0,0,0,0
10/12/2010,100,0,0,0,0,0
10/19/2010,100,0,0,0,0,0
10/26/2010,100,0,0,0,0,0
11/2/2010,100,0,0,0,0,0
11/9/2010,100,0,0,0,0,0
11/16/2010,100,0,0,0,0,0
11/23/2010,100,0,0,0,0,0
11/30/2010,100,0,0,0,0,0
12/7/2010,100,0,0,0,0,0
12/14/2010,100,0,0,0,0,0
12/21/2010,100,0,0,0,0,0
12/28/2010,100,0,0,0,0,0
1/4/2011,100,0,0,0,0,0
1/11/2011,100,0,0,0,0,0
1/18/2011,100,0,0,0,0,0
1/25/2011,100,0,0,0,0,0
2/1/2011,100,0,0,0,0,0
2/8/2011,0,100,0,0,0,0
2/15/2011,0,100,0,0,0,0
2/22/2011,100,0,0,0,0,0
3/1/2011,100,0,0,0,0,0
3/8/2011,97.5,2.5,0,0,0,0
3/15/2011,97.5,2.5,0,0,0,0
3/22/2011,100,0,0,0,0,0
3/29/2011,100,0,0,0,0,0
4/5/2011,100,0,0,0,0,0
4/12/2011,100,0,0,0,0,0
4/19/2011,100,0,0,0,0,0
4/26/2011,100,0,0,0,0,0
5/3/2011,100,0,0,0,0,0
5/10/2011,100,0,0,0,0,0
5/17/2011,100,0,0,0,0,0
5/24/2011,100,0,0,0,0,0
5/31/2011,100,0,0,0,0,0
6/7/2011,100,0,0,0,0,0
6/14/2011,100,0,0,0,0,0
6/21/2011,100,0,0,0,0,0
6/28/2011,100,0,0,0,0,0
7/5/2011,100,0,0,0,0,0
7/12/2011,100,0,0,0,0,0
7/19/2011,100,0,0,0,0,0
7/26/2011,100,0,0,0,0,0
8/2/2011,100,0,0,0,0,0
8/9/2011,100,0,0,0,0,0
8/16/2011,100,0,0,0,0,0
8/23/2011,100,0,0,0,0,0
8/30/2011,100,0,0,0,0,0
9/6/2011,100,0,0,0,0,0
9/13/2011,100,0,0,0,0,0
9/20/2011,100,0,0,0,0,0
9/27/2011,100,0,0,0,0,0
10/4/2011,100,0,0,0,0,0
10/11/2011,100,0,0,0,0,0
10/18/2011,100,0,0,0,0,0
10/25/2011,100,0,0,0,0,0
11/1/2011,100,0,0,0,0,0
11/8/2011,100,0,0,0,0,0
11/15/2011,100,0,0,0,0,0
11/22/2011,100,0,0,0,0,0
11/29/2011,100,0,0,0,0,0
12/6/2011,100,0,0,0,0,0
12/13/2011,100,0,0,0,0,0
12/20/2011,100,0,0,0,0,0
12/27/2011,0,100,0,0,0,0
1/3/2012,0,100,100,0,0,0
1/10/2012,0,100,100,0,0,0
1/17/2012,0,100,100,0,0,0
1/24/2012,0,100,8.84,0,0,0
1/31/2012,0,100,8.84,0,0,0
2/7/2012,0,100,8.84,0,0,0
2/14/2012,0,100,8.84,0,0,0
2/21/2012,0,100,22.74,0,0,0
2/28/2012,0,100,95.44,0,0,0
3/6/2012,0,100,95.44,0,0,0
3/13/2012,0,100,95.44,0,0,0
3/20/2012,0,100,95.44,0,0,0
3/27/2012,0,100,95.44,0,0,0
4/3/2012,4.35,95.65,24.75,0,0,0
4/10/2012,13.18,86.82,18.42,0,0,0
4/17/2012,78.91,21.09,0,0,0,0
4/24/2012,78.91,21.09,0,0,0,0
5/1/2012,78.91,21.09,0,0,0,0
5/8/2012,79.46,20.54,0,0,0,0
5/15/2012,79.46,20.54,0,0,0,0
5/22/2012,79.46,20.54,0,0,0,0
5/29/2012,79.46,20.54,0,0,0,0
6/5/2012,79.46,20.54,0,0,0,0
6/12/2012,79.46,20.54,0,0,0,0
6/19/2012,79.46,20.54,0,0,0,0
6/26/2012,79.46,20.54,0,0,0,0
7/3/2012,78.98,21.02,0,0,0,0
7/10/2012,78.98,21.02,0,0,0,0
7/17/2012,78.98,21.02,0,0,0,0
7/24/2012,78.98,21.02,0,0,0,0
7/31/2012,78.98,21.02,0,0,0,0
8/7/2012,78.98,21.02,0,0,0,0
8/14/2012,74.8,25.2,0,0,0,0
8/21/2012,74.8,25.2,0,0,0,0
8/28/2012,79.86,20.14,0.03,0,0,0
9/4/2012,80.02,19.98,0,0,0,0
9/11/2012,80.02,19.98,0,0,0,0
9/18/2012,82.03,17.97,0,0,0,0
9/25/2012,82.03,17.97,0,0,0,0
10/2/2012,82.03,17.97,0,0,0,0
10/9/2012,39.57,60.43,0,0,0,0
10/16/2012,35.07,64.93,0,0,0,0
10/23/2012,35.07,64.93,0,0,0,0
10/30/2012,34.92,65.08,0,0,0,0
11/6/2012,34.92,65.08,0,0,0,0
11/13/2012,34.92,65.08,0,0,0,0
11/20/2012,34.92,65.08,0,0,0,0
11/27/2012,34.92,65.08,0,0,0,0
12/4/2012,100,0,0,0,0,0
12/11/2012,100,0,0,0,0,0
12/18/2012,100,0,0,0,0,0
12/25/2012,100,0,0,0,0,0
1/1/2013,100,0,0,0,0,0
1/8/2013,100,0,0,0,0,0
1/15/2013,100,0,0,0,0,0
1/22/2013,100,0,0,0,0,0
1/29/2013,100,0,0,0,0,0
2/5/2013,100,0,0,0,0,0
2/12/2013,100,0,0,0,0,0
2/19/2013,0,100,0,0,0,0
2/26/2013,0,100,0,0,0,0
3/5/2013,0,100,0,0,0,0
3/12/2013,100,0,0,0,0,0
3/19/2013,100,0,0,0,0,0
3/26/2013,0,100,0,0,0,0
4/2/2013,0,100,0,0,0,0
4/9/2013,0.03,99.97,0,0,0,0
4/16/2013,0.03,99.97,0,0,0,0
